Site_ID,campsite,dist,canopy,reps,basal_class,basal_percent,litter,temp,pH,GWC,BG_25,CB_25,NAG_25,PHOS_25,XYL_25,AG_25,LAP_25,BG_35,CB_35,NAG_35,PHOS_35,XYL_35,AG_35,LAP_35,TOC,EC,micC,soil_C,DOC,EN,micN,soil_N,TDN,SAC,SAN,C_N
413-06 Co1C,413,Co,1,C,3,27,5.3,28.5,6.64,0.085,5.763669288,0.705674415,0.772773887,28.09396518,1.017249038,0.453046343,10.41947093,27.37339719,2.207894284,13.36849422,73.47441732,1.816607312,0.067324376,25.37065354,0.124,3278.7,485733.3333,2.921,0.043815,265.9,32827.16049,0.5553,0.0083295,4.06E-05,5.14E-05,5.260219701
413-06 Co1D,413,Co,1,D,1,3,6.8,27.1,6.8,0.113,10.29172501,0.744984603,1.337656617,22.12005909,5.615702653,0.326747633,7.755134237,29.50283228,1.324409046,6.082556929,58.85192733,1.532795085,1.162331016,27.25216925,0.089,2005.7,297140.7407,2.391,0.035865,128.1,15814.81481,0.3994,0.005991,8.50E-05,7.14E-05,5.98647972
413-06 Co2A,413,Co,2,A,1,5,0.00001,45.1,5.92,0.023,1.529186944,NA,1.220660972,18.13879028,0.057077305,NA,6.042876008,5.611711578,0.671429276,2.007551081,38.73922555,0.458098904,0.626517619,11.47516643,0.066,297.7,44103.7037,1.867,0.028005,NA,NA,0.1931,0.0028965,0.000101511,0.000235199,9.66856551
413-06 Co2B,413,Co,2,B,1,5,0.00001,47.1,6.53,0.03,1.878365952,NA,1.609483792,18.80748363,0.032041791,0.112706438,6.83666892,1.490110023,1.132725128,2.759202235,50.6699381,1.353461307,1.690374422,3.935178204,0.066,NA,NA,2.8356,0.042534,43.8,5.407407407,0.0961,0.0014415,NA,NA,29.50676379
413-06 Co2C,413,Co,2,C,1,3,0.00001,45,6.98,0.048,1.053508969,NA,0.78192771,20.13858462,NA,NA,7.653722454,4.706931001,NA,1.521767629,24.67841428,0.170130036,0.898838999,30.250342,0.076,NA,NA,2.8106,0.042159,83.1,10259.25926,0.2105,0.0031575,NA,NA,13.352019
413-06 Co2D,413,Co,2,D,2,12,1,42.5,5.76,0.04,3.261924588,0.886578102,2.087587008,33.24323034,1.403679159,0.869897423,7.005820575,7.210089255,1.835270117,4.058029301,74.63196453,3.161755436,1.345307071,16.6459909,0.062,NA,NA,1.7596,0.026394,24.2,2.987654321,0.0919,0.0013785,NA,NA,19.1468988
413-06 Re1A,413,Re,1,A,2,20,3.2,29.5,6.04,0.041,12.94007121,2.809498437,5.499702895,46.79821381,3.361808022,2.36765077,20.47087993,56.83365742,16.89431336,25.27602973,121.7247109,6.865710237,4.790365131,58.77882269,0.128,1988.1,294533.3333,1.8374,0.027561,175.2,21629.62963,0.4323,0.0064845,0.000181411,0.000186779,4.250289151
413-06 Re1B,413,Re,1,B,1,5,4.7,28.5,5.72,0.067,4.300827223,2.033200339,5.665208619,12.34349651,1.310889496,1.467913593,7.956820887,6.422531843,1.036010092,7.176489196,30.13208436,2.207789647,0.244995358,16.31124543,0.107,3328.1,493051.8519,2.7494,0.041241,384.8,47.50617284,0.3357,0.0050355,1.93E-05,3.76E-05,8.19005064
413-06 Re1C,413,Re,1,C,2,15,13.7,34.4,6.33,0.083,7.704633933,3.839520614,5.0498257,49.51005399,1.995935131,2.035700533,15.79844298,29.62028045,6.127948391,13.1415112,128.6325465,5.89890015,2.536721714,43.87323807,0.116,829.1,122829.6296,4.2594,0.063891,104.8,12.9382716,0.7117,0.0106755,0.000243262,0.000316955,5.984825067
413-06 Re1D,413,Re,1,D,1,2,4.7,31.9,7.21,0.064,6.386743016,0.02808613,2.125327349,11.08322468,0.463152128,0.251196898,10.92805436,26.20269874,1.893625469,7.822305319,35.08828909,1.98594888,0.528291863,29.92087364,0.082,1330.1,197051.8519,1.0844,0.016266,166.8,20592.59259,0.2198,0.003297,9.58E-05,0.000128891,4.933575978
413-06 Re2A,413,Re,2,A,3,30,3.6,32,6.72,0.049,2.00730921,0.52305047,2.144148672,18.73444544,0.52305047,0.164796723,8.324069989,17.79653076,0.138489886,4.700409058,56.68146084,0.433307792,NA,29.16804168,0.101,718.7,106474.0741,3.273,0.049095,183.7,22679.01235,0.4615,0.0069225,0.00010137,0.000208204,7.092091008
